title,location,price_final_pen,bedroom,bathroom,area,year_contruction,maintenance_num,housing_type,operation_type
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",2550.0,2 dormitorios,2 baños,80 m²,2016,480.0,Apartamento,Alquiler
Apartamento en alquiler en Co. Virgen De Fatima,"Co. Virgen De Fatima, San Martín de Porres, Lima, Lima ",800.0,2 dormitorios,2 baños,58 m²,1500,25.0,Apartamento,Alquiler
Apartamento en alquiler en Co. Santa Rosa De Quives,"Co. Santa Rosa De Quives, Santa Anita, Lima, Lima ",1600.0,3 dormitorios,2 baños,68 m²,2022,170.0,Apartamento,Alquiler
Apartamento en alquiler en Co. Virgen De Fatima,"Co. Virgen De Fatima, San Martín de Porres, Lima, Lima ",850.0,2 dormitorios,1 baño,65 m²,1500,25.0,Apartamento,Alquiler
Apartamento en alquiler en Ah. Totorita,"Ah. Totorita, Rimac, Lima, Lima ",1450.0,2 dormitorios,1 baño,59 m²,2023,304.0,Apartamento,Alquiler
Casa en alquiler en Ica,"Ica, Ica, Ica ",1500.0,3 dormitorios,3 baños,160 m²,2022,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. El Vivero,"Ur. El Vivero, Santiago de Surco, Lima, Lima ",3100.0,3 dormitorios,3 baños,105 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",2280.0,1 dormitorio,1 baño,45 m²,2017,300.0,Apartamento,Alquiler
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",4950.0,3 dormitorios,2 baños,300 m²,2008,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",2760.0,2 dormitorios,2 baños,55 m²,2019,300.0,Apartamento,Alquiler
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",6300.0,3 dormitorios,4 baños,246 m²,2022,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Prolongacion Benavides,"Ur. Prolongacion Benavides, Santiago de Surco, Lima, Lima ",1400.0,1 dormitorio,1 baño,60 m²,2000,50.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. La Calera De La Merced,"Ur. La Calera De La Merced, Surquillo, Lima, Lima ",1800.0,2 dormitorios,1 baño,70 m²,2022,280.0,Apartamento,Alquiler
